Monitoramento de ping para 129.148.28.130
Início: 2024-11-09 10:52:31
--------------------------------------------------
[10:52:46] Status: Falha na conexão
[10:52:51] Status: Sucesso - Ping: 303.0ms
[10:52:53] Status: Sucesso - Ping: 58.0ms
[10:52:54] Status: Sucesso - Ping: 59.0ms
[10:52:55] Status: Sucesso - Ping: 88.0ms
[10:52:56] Status: Sucesso - Ping: 1840.0ms
[10:52:59] Status: Sucesso - Ping: 59.0ms
[10:53:00] Status: Sucesso - Ping: 60.0ms
[10:53:01] Status: Sucesso - Ping: 62.0ms
[10:53:02] Status: Sucesso - Ping: 58.0ms
[10:53:03] Status: Sucesso - Ping: 60.0ms
